date,grid_id,volume
2018-12-31,0,0
2018-12-31,1,0
2018-12-31,2,0
2018-12-31,3,7
2018-12-31,4,0
2018-12-31,5,0
2018-12-31,6,0
2018-12-31,7,0
2018-12-31,8,0
2018-12-31,9,1
2018-12-31,10,0
2018-12-31,11,0
2018-12-31,12,0
2018-12-31,13,0
2018-12-31,14,0
2018-12-31,15,0
2018-12-31,16,1
2018-12-31,17,0
2018-12-31,18,0
2018-12-31,19,0
2018-12-31,20,0
2018-12-31,21,0
2018-12-31,22,2
2018-12-31,23,0
2018-12-31,24,0
2018-12-31,25,0
2018-12-31,26,0
2018-12-31,27,0
2018-12-31,28,1
2018-12-31,29,0
2018-12-31,30,0
2018-12-31,31,0
2018-12-31,32,0
2018-12-31,33,0
2018-12-31,34,0
2018-12-31,35,0
2018-12-31,36,0
2018-12-31,37,0
2018-12-31,38,0
2018-12-31,39,0
2018-12-31,40,1
2018-12-31,41,0
2018-12-31,42,0
2018-12-31,43,0
2018-12-31,44,0
2018-12-31,45,0
2018-12-31,46,0
2018-12-31,47,0
2018-12-31,48,0
2018-12-31,49,0
2018-12-31,50,0
2018-12-31,51,0
2018-12-31,52,0
2018-12-31,53,10
2018-12-31,54,0
2018-12-31,55,0
2018-12-31,56,0
2018-12-31,57,0
2018-12-31,58,0
2018-12-31,59,5
2019-01-01,0,0
2019-01-01,1,0
2019-01-01,2,13
2019-01-01,3,3687
2019-01-01,4,0
2019-01-01,5,0
2019-01-01,6,0
2019-01-01,7,0
2019-01-01,8,0
2019-01-01,9,44
2019-01-01,10,0
2019-01-01,11,0
2019-01-01,12,0
2019-01-01,13,22
2019-01-01,14,0
2019-01-01,15,0
2019-01-01,16,2171
2019-01-01,17,0
2019-01-01,18,0
2019-01-01,19,0
2019-01-01,20,0
2019-01-01,21,0
2019-01-01,22,359
2019-01-01,23,0
2019-01-01,24,0
2019-01-01,25,0
2019-01-01,26,0
2019-01-01,27,0
2019-01-01,28,115
2019-01-01,29,0
2019-01-01,30,0
2019-01-01,31,0
2019-01-01,32,0
2019-01-01,33,0
2019-01-01,34,1
2019-01-01,35,0
2019-01-01,36,0
2019-01-01,37,0
2019-01-01,38,0
2019-01-01,39,0
2019-01-01,40,9
2019-01-01,41,0
2019-01-01,42,0
2019-01-01,43,0
2019-01-01,44,0
2019-01-01,45,0
2019-01-01,46,0
2019-01-01,47,0
2019-01-01,48,0
2019-01-01,49,0
2019-01-01,50,0
2019-01-01,51,0
2019-01-01,52,0
2019-01-01,53,5040
2019-01-01,54,0
2019-01-01,55,0
2019-01-01,56,0
2019-01-01,57,0
2019-01-01,58,0
2019-01-01,59,3447
2019-01-02,0,0
2019-01-02,1,0
2019-01-02,2,6
2019-01-02,3,2811
2019-01-02,4,0
2019-01-02,5,0
2019-01-02,6,0
2019-01-02,7,0
2019-01-02,8,0
2019-01-02,9,55
2019-01-02,10,0
2019-01-02,11,0
2019-01-02,12,0
2019-01-02,13,26
2019-01-02,14,0
2019-01-02,15,0
2019-01-02,16,1865
2019-01-02,17,0
2019-01-02,18,0
2019-01-02,19,0
2019-01-02,20,0
2019-01-02,21,0
2019-01-02,22,195
2019-01-02,23,0
2019-01-02,24,0
2019-01-02,25,0
2019-01-02,26,0
2019-01-02,27,0
2019-01-02,28,42
2019-01-02,29,0
2019-01-02,30,0
2019-01-02,31,0
2019-01-02,32,0
2019-01-02,33,0
2019-01-02,34,17
2019-01-02,35,0
2019-01-02,36,0
2019-01-02,37,0
2019-01-02,38,0
2019-01-02,39,0
2019-01-02,40,14
2019-01-02,41,1
2019-01-02,42,0
2019-01-02,43,0
2019-01-02,44,0
2019-01-02,45,0
2019-01-02,46,0
2019-01-02,47,0
2019-01-02,48,0
2019-01-02,49,0
